time,ticker,volume,open,curr
2018-07-29T16:00:00Z,PDSS,438353,15,16
2018-07-29T16:00:00Z,PEOP,4700,12,12
2018-07-29T16:00:00Z,POWR,0,8,7
2018-07-29T16:00:00Z,SHRX,116552,14,13
2018-07-29T16:00:00Z,SKBD,36600,11,12
2018-07-29T16:00:00Z,SKEI,0,6,7
2018-07-29T16:00:00Z,SMUG,690684,14,15
2018-07-29T16:00:00Z,SSS,2300,33,30
2018-07-29T16:00:00Z,STFP,0,14,14
2018-07-29T16:00:00Z,SWNC,6031,50,50
2018-07-29T16:00:00Z,TAG,2681,189,200
2018-07-29T16:00:00Z,TNAH,482507,13,15
2018-07-29T16:00:00Z,TNPT,37600,12,11
2018-07-29T16:00:00Z,TPEG,1400,30,30
2018-07-29T16:00:00Z,TPP,0,13,13
2018-07-29T16:00:00Z,TSRC,1600,43,41
2018-07-29T16:00:00Z,UNIB,81650,9,10
2018-07-29T16:00:00Z,VPTS,24,1563,1557
2018-07-29T16:00:00Z,YIPP,0,9,9
2018-07-29T16:30:00Z,AAVL,10688,19,21
2018-07-29T16:30:00Z,ACFI,1000,14,12
2018-07-29T16:30:00Z,BB,1000,13,13
2018-07-29T16:30:00Z,BOTT,342547,15,16
2018-07-29T16:30:00Z,BUZZ,6525,26,20
2018-07-29T16:30:00Z,CHIA,2409,61,68
2018-07-29T16:30:00Z,CHPS,127600,8,10
2018-07-29T16:30:00Z,COFL,72200,12,9
2018-07-29T16:30:00Z,CYBU,0,6,6
2018-07-29T16:30:00Z,DROO,4000,12,13
2018-07-29T16:30:00Z,EEEEE,201712,15,14
2018-07-29T16:30:00Z,FAER,79250,10,11
2018-07-29T16:30:00Z,FISH,1631,38,43
2018-07-29T16:30:00Z,HELT,8945,20,19
2018-07-29T16:30:00Z,HUW,0,7,9
2018-07-29T16:30:00Z,KAUF,15605,18,17
2018-07-29T16:30:00Z,KBAT,0,8,9
2018-07-29T16:30:00Z,KSON,1101,1054,1064
2018-07-29T16:30:00Z,LDSC,200,12,14
2018-07-29T16:30:00Z,LUPE,57050,10,9
2018-07-29T16:30:00Z,MPC,0,6,6
2018-07-29T16:30:00Z,MYNC,2500,12,12
2018-07-29T16:30:00Z,NAKR,0,13,12
2018-07-29T16:30:00Z,NATN,67050,10,9
2018-07-29T16:30:00Z,PDSS,446363,15,16
2018-07-29T16:30:00Z,PEOP,4700,12,12
2018-07-29T16:30:00Z,POWR,0,8,7
2018-07-29T16:30:00Z,SHRX,116552,14,13
2018-07-29T16:30:00Z,SKBD,36600,11,12
2018-07-29T16:30:00Z,SKEI,0,6,7
2018-07-29T16:30:00Z,SMUG,756684,14,15
2018-07-29T16:30:00Z,SSS,3300,33,31
2018-07-29T16:30:00Z,STFP,0,14,14
2018-07-29T16:30:00Z,SWNC,7031,50,47
2018-07-29T16:30:00Z,TAG,3005,189,198
2018-07-29T16:30:00Z,TNAH,546907,13,15
2018-07-29T16:30:00Z,TNPT,37600,12,11
2018-07-29T16:30:00Z,TPEG,1400,30,29
2018-07-29T16:30:00Z,TPP,0,13,13
2018-07-29T16:30:00Z,TSRC,1600,43,42
2018-07-29T16:30:00Z,UNIB,93150,9,10
2018-07-29T16:30:00Z,VPTS,24,1563,1561
2018-07-29T16:30:00Z,YIPP,0,9,8
2018-07-29T17:00:00Z,AAVL,10688,19,22
2018-07-29T17:00:00Z,ACFI,1000,14,12
2018-07-29T17:00:00Z,BB,1000,13,13
2018-07-29T17:00:00Z,BOTT,346547,15,16
2018-07-29T17:00:00Z,BUZZ,7025,26,20
2018-07-29T17:00:00Z,CHIA,2409,61,68
2018-07-29T17:00:00Z,CHPS,140100,8,10
2018-07-29T17:00:00Z,COFL,72200,12,9
2018-07-29T17:00:00Z,CYBU,0,6,6
2018-07-29T17:00:00Z,DROO,4000,12,13
2018-07-29T17:00:00Z,EEEEE,201712,15,14
2018-07-29T17:00:00Z,FAER,79250,10,11
2018-07-29T17:00:00Z,FISH,1631,38,44
2018-07-29T17:00:00Z,HELT,8975,20,19
2018-07-29T17:00:00Z,HUW,0,7,9
2018-07-29T17:00:00Z,KAUF,15605,18,17
2018-07-29T17:00:00Z,KBAT,0,8,9
2018-07-29T17:00:00Z,KSON,1101,1054,1064
2018-07-29T17:00:00Z,LDSC,200,12,14
2018-07-29T17:00:00Z,LUPE,57050,10,9
2018-07-29T17:00:00Z,MPC,0,6,6
2018-07-29T17:00:00Z,MYNC,2500,12,12
2018-07-29T17:00:00Z,NAKR,0,13,12
2018-07-29T17:00:00Z,NATN,67050,10,9
2018-07-29T17:00:00Z,PDSS,450363,15,16
2018-07-29T17:00:00Z,PEOP,5700,12,12
2018-07-29T17:00:00Z,POWR,0,8,7
2018-07-29T17:00:00Z,SHRX,116552,14,13
2018-07-29T17:00:00Z,SKBD,36600,11,12
2018-07-29T17:00:00Z,SKEI,0,6,7
2018-07-29T17:00:00Z,SMUG,806861,14,15
2018-07-29T17:00:00Z,SSS,3300,33,30
2018-07-29T17:00:00Z,STFP,0,14,14
2018-07-29T17:00:00Z,SWNC,7031,50,49
2018-07-29T17:00:00Z,TAG,3777,189,197
2018-07-29T17:00:00Z,TNAH,610207,13,15
2018-07-29T17:00:00Z,TNPT,39600,12,11
2018-07-29T17:00:00Z,TPEG,1400,30,29
2018-07-29T17:00:00Z,TPP,0,13,13
2018-07-29T17:00:00Z,TSRC,1600,43,42
2018-07-29T17:00:00Z,UNIB,101650,9,10
2018-07-29T17:00:00Z,VPTS,24,1563,1564
2018-07-29T17:00:00Z,YIPP,0,9,8
2018-07-29T17:30:00Z,AAVL,12188,19,23
2018-07-29T17:30:00Z,ACFI,1000,14,12
2018-07-29T17:30:00Z,BB,1000,13,13
2018-07-29T17:30:00Z,BOTT,348227,15,16
2018-07-29T17:30:00Z,BUZZ,7325,26,20
2018-07-29T17:30:00Z,CHIA,3409,61,69
2018-07-29T17:30:00Z,CHPS,146600,8,10
2018-07-29T17:30:00Z,COFL,74200,12,10
2018-07-29T17:30:00Z,CYBU,0,6,6
2018-07-29T17:30:00Z,DROO,4000,12,13
2018-07-29T17:30:00Z,EEEEE,201712,15,14
2018-07-29T17:30:00Z,FAER,79250,10,11
2018-07-29T17:30:00Z,FISH,1631,38,45
2018-07-29T17:30:00Z,HELT,8975,20,19
2018-07-29T17:30:00Z,HUW,0,7,9
2018-07-29T17:30:00Z,KAUF,16605,18,17
2018-07-29T17:30:00Z,KBAT,0,8,9
2018-07-29T17:30:00Z,KSON,1101,1054,1065
2018-07-29T17:30:00Z,LDSC,200,12,13
2018-07-29T17:30:00Z,LUPE,57050,10,9
2018-07-29T17:30:00Z,MPC,0,6,6
2018-07-29T17:30:00Z,MYNC,2500,12,12
2018-07-29T17:30:00Z,NAKR,0,13,12
2018-07-29T17:30:00Z,NATN,69050,10,10
2018-07-29T17:30:00Z,PDSS,454363,15,16
2018-07-29T17:30:00Z,PEOP,5700,12,12
2018-07-29T17:30:00Z,POWR,0,8,7
2018-07-29T17:30:00Z,SHRX,116552,14,13
2018-07-29T17:30:00Z,SKBD,37600,11,12
2018-07-29T17:30:00Z,SKEI,0,6,7
2018-07-29T17:30:00Z,SMUG,857611,14,15
2018-07-29T17:30:00Z,SSS,3300,33,30
2018-07-29T17:30:00Z,STFP,0,14,14
2018-07-29T17:30:00Z,SWNC,7031,50,48
2018-07-29T17:30:00Z,TAG,3828,189,198
2018-07-29T17:30:00Z,TNAH,668491,13,15
2018-07-29T17:30:00Z,TNPT,41600,12,11
2018-07-29T17:30:00Z,TPEG,1400,30,28
2018-07-29T17:30:00Z,TPP,0,13,13
2018-07-29T17:30:00Z,TSRC,1600,43,44
2018-07-29T17:30:00Z,UNIB,109150,9,10
2018-07-29T17:30:00Z,VPTS,24,1563,1562
2018-07-29T17:30:00Z,YIPP,0,9,8
